tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
198.00;36897741#0_1;60.96;10.13;18.00;5.00;167456697_1;3.70;0.00;tripinfo_Car_110;180.00;Car_110;0;382.46;0.93;0.00;148.82;Car;;1;126.00
200.00;36897741#0_1;60.96;10.66;21.00;2.00;167456697_1;1.95;0.00;tripinfo_Auto_169;179.00;Auto_169;0;384.21;0.94;0.00;147.83;MotorCycle;;1;125.00
201.00;36897741#0_1;60.96;10.10;24.00;5.00;167456697_1;3.70;0.00;tripinfo_Auto_170;177.00;Auto_170;0;382.46;1.09;0.00;150.64;Car;;1;124.00
203.00;36897741#0_1;60.96;10.21;28.00;7.00;167456697_1;3.70;0.00;tripinfo_Bus_179;175.00;Bus_179;0;382.46;1.06;0.00;147.58;Car;;1;120.00
203.00;317371668#1_1;150.53;12.09;179.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Auto_1360;24.00;Auto_1360;0;147.83;1.13;0.00;14.09;Auto;;0;0.00
205.00;317371668#1_1;150.53;13.25;183.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_1361;22.00;Auto_1361;0;146.83;0.96;0.00;10.79;Car;;0;0.00
207.00;36897741#0_1;60.96;9.71;31.00;7.00;167456697_1;2.70;0.00;tripinfo_Bus_210;176.00;Bus_210;0;383.46;1.10;0.00;149.57;Auto;;1;118.00
207.00;317371668#1_1;150.53;12.09;186.00;5.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1380;21.00;Bus_1380;0;148.58;0.87;0.00;8.62;MotorCycle;;0;0.00
208.00;36897741#0_1;60.96;9.70;35.00;1.00;167456697_1;2.70;0.00;tripinfo_Bus_267;173.00;Bus_267;0;383.46;0.92;0.00;141.54;Auto;;1;113.00
210.00;36897741#0_1;60.96;9.79;39.00;3.00;167456697_1;2.70;0.00;tripinfo_Car_279;171.00;Car_279;0;383.46;0.97;0.00;140.78;Auto;;1;111.00
212.00;36897741#0_1;60.96;9.28;46.00;6.00;167456697_1;10.20;0.00;tripinfo_Bus_318;166.00;Bus_318;0;375.96;1.18;0.00;141.87;Bus;;1;106.00
215.00;36897741#0_1;60.96;10.12;50.00;10.00;167456697_1;2.70;0.00;tripinfo_Bus_319;165.00;Bus_319;0;383.46;1.13;0.00;139.21;Auto;;1;105.00
